"REGION","TOTAL NUMBER","TOTAL RATE","TOTAL NUMBER WHITE","TOTAL RATE WHITE","TOTAL NUMBER BLACK","TOTAL RATE BLACK"
"STATE","80,242","60.2","60,690","60.6","16,768","64"
"DAVIDSON","9,979","59.6","6,620","61.6","2,741","58.7"
"EAST","7,910","60.4","7,597","61.7","167","51.8"
"HAMILTON","4,278","58.8","3,119","58.5","1,008","64.7"
"KNOX","5,111","51.9","4,314","52.1","609","62"
"MADISON","1,251","63.8","614","58.6","612","72.3"
"MID-CUMBERLAND","16,228","59.9","13,248","60.9","2,215","62.6"
"NORTHEAST","3,171","50.7","3,015","51.7","99","52.5"
"SHELBY","12,752","65.2","4,620","65.8","7,607","66.1"
"SOUTH CENTRAL","4,881","65.7","4,431","66.9","339","64"
"SOUTHEAST","3,607","59.8","3,390","60.8","152","65.5"
"SULLIVAN","1,469","54.9","1,414","56.2","36","53.3"
"UPPER CUMBERLAND","3,920","63.3","3,803","64.7","59","54.2"
"WEST","5,682","61.6","4,503","61.7","1,124","68"
